"transport_id";"sq_id";"type_transport";"ID";"Name_id";"Name";"OnTerritoryOfMoscow";"AdmArea";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"LittleFunctionalBPAAmount";"BPAAmount";"ObjectStatus";"global_id";"coordinates";"type";"input_people_all";"output_people_all";"one";"count_exit";"input_people";"output_people";"district_id";"district";"adm_area_id";"adm_area"
"116";"351";"Метро";"187";"Красногвардейская";"Красногвардейская, вход-выход 7 в северный вестибюль";"да";"Южный административный округ";"37.74239320";"55.61400760";"подземный";"Красногвардейская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:50:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 02:01:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:50:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 02:01:00";NULL;"4";"действует";"1773673";"37.74239320";"55.61400760";"1573265";"1572188";"1";"8";"196658";"196524";"65";"Зябликово";"12";"Южный"
"117";"2572";"Метро";"411";"Краснопресненская";"Краснопресненская, вход-выход в вестибюль";"да";"Центральный административный округ";"37.57693050";"55.76041300";"подземный";"Краснопресненская";"Кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:15, по 2 пути в 05:41:55; последний поезд по 1 пути в 01:28:10, по 2 пути в 01:19:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:15, по 2 пути в 05:41:55; последний поезд по 1 пути в 01:28:10, по 2 пути в 01:19:00";"2";"4";"действует";"1773674";"37.57693050";"55.76041300";"1947126";"1977168";"1";"1";"1947126";"1977168";"45";"Пресненский";"9";"Центральный"
"118";"2867";"Метро";"690";"Красносельская";"Красносельская, вход-выход в вестибюль";"да";"Центральный административный округ";"37.66608040";"55.77998230";"наземный отдельностоящий";"Красносельская";"Сокольническая линия";"выявленный объект культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:35, по 2 пути в 05:53:40; последний поезд по 1 пути в 01:14:45, по 2 пути в 01:54:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:35, по 2 пути в 05:53:40; последний поезд по 1 пути в 01:14:45, по 2 пути в 01:54:10";"3";"3";"действует";"1773675";"37.66608040";"55.77998230";"1921293";"1986543";"1";"1";"1921293";"1986543";"14";"Красносельский";"9";"Центральный"
"119";"2703";"Метро";"682";"Красные ворота";"Красные ворота, вход-выход 1 в южный вестибюль";"да";"Центральный административный округ";"37.64802700";"55.76837700";"наземный отдельностоящий";"Красные ворота";"Сокольническая линия";"объект культурного наследия регионального значения";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 06:03:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:50:41";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 06:03:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:50:41";NULL;"4";"действует";"1773676";"37.64802700";"55.76837700";"2041983";"2113107";"1";"2";"1020992";"1056554";"5";"Басманный";"9";"Центральный"
"120";"2704";"Метро";"684";"Красные ворота";"Красные ворота, вход-выход 2 в северный вестибюль";"да";"Центральный административный округ";"37.65035720";"55.76976110";"наземный, встроенный в здание";"Красные ворота";"Сокольническая линия";"объект культурного наследия регионального значения";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 06:03:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:50:40";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 06:03:10; последний поезд по 1 пути в 01:18:15, по 2 пути в 01:50:40";NULL;"2";"действует";"1773677";"37.65035720";"55.76976110";"2041983";"2113107";"1";"2";"1020992";"1056554";"14";"Красносельский";"9";"Центральный"
"121";"2103";"Метро";"467";"Крестьянская застава";"Крестьянская застава, вход-выход 10 в вестибюль";"да";"Центральный административный округ";"37.66553830";"55.73232510";"подземный";"Крестьянская застава";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:41:00; последний поезд по 1 пути в 01:34:00, по 2 пути в 01:30:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:41:00; последний поезд по 1 пути в 01:34:00, по 2 пути в 01:30:00";"2";"3";"действует";"1773678";"37.66553830";"55.73232510";"669217";"701239";"1";"1";"669217";"701239";"141";"Таганский";"9";"Центральный"
"122";"2355";"Метро";"650";"Кропоткинская";"Кропоткинская, вход-выход 3 в северный вестибюль";"да";"Центральный административный округ";"37.60533160";"55.74565220";"подземный";"Кропоткинская";"Сокольническая линия";"объект культурного наследия регионального значения";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:10, по 2 пути в 05:54:55; последний поезд по 1 пути в 01:26:20, по 2 пути в 01:42:36";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:10, по 2 пути в 05:54:55; последний поезд по 1 пути в 01:26:20, по 2 пути в 01:42:36";NULL;"3";"действует";"1773679";"37.60533160";"55.74565220";"2091014";"2179938";"1";"4";"522754";"544985";"125";"Хамовники";"9";"Центральный"
"123";"2287";"Метро";"649";"Кропоткинская";"Кропоткинская, вход-выход 1 в южный вестибюль";"да";"Центральный административный округ";"37.60155830";"55.74497910";"наземный отдельностоящий";"Кропоткинская";"Сокольническая линия";"объект культурного наследия регионального значения";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:10, по 2 пути в 05:54:55; последний поезд по 1 пути в 01:26:20, по 2 пути в 01:42:35";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:10, по 2 пути в 05:54:55; последний поезд по 1 пути в 01:26:20, по 2 пути в 01:42:35";NULL;"3";"действует";"1773680";"37.60155830";"55.74497910";"2091014";"2179938";"1";"4";"522754";"544985";"125";"Хамовники";"9";"Центральный"
"124";"2505";"Метро";"32";"Крылатское";"Крылатское, вход-выход 2 в западный вестибюль";"да";"Западный административный округ";"37.40731300";"55.75787200";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:03";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:03";"1";"3";"действует";"1773681";"37.40731300";"55.75787200";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
"125";"2451";"Метро";"36";"Крылатское";"Крылатское, вход-выход 8 в восточный вестибюль";"да";"Западный административный округ";"37.40762100";"55.75558300";"подземный";"Крылатское";"Арбатско-Покровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:02";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:49:00, по 2 пути в 01:21:02";"3";"4";"действует";"1773682";"37.40762100";"55.75558300";"2221765";"2189532";"1";"8";"277721";"273692";"73";"Крылатское";"2";"Западный"
